COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 

Twickel Purple Lavender 		 Lavandula angustifolia 'Twickel Purple' 		 Erect grower but somewhat sprawly. Strong branches at base. Overall look is gray-green; flowers are a mauve-violet. Flowers in summer; nice fragrance. Sun; little water. 		 LavTwicPur 		 18-24" h x w"""" 		 

Hot Lips Salvia 		 Salvia microphylla 'Hot Lips' 		 Evergreen perennial grows to 2-3' tall & wide. Green leaves; white flowers w/red lips, amounts of red & white can vary. Long bloom season. Sun to part shade. Little water 		 SalvMicHotL 		 2-3' h x w"""" 		 

Sentinel Manzanita 		 Arctostaphylos densiflora 'Sentinel' 		 Relatively fast-growing manzanita reaches 5-6' in 2 years; matures at 6-8' high x 5-7' wide. Sun to part sun; wide variety of soils; little water. Hardy to about 10F. 		 ArctDSentin 		 6-8' h x 5-7' w"""" 		 

Douglas' Iris 		 Iris douglasiana 		 Native to CA coast from Santa Barbara to Oregon. Leaves & stems 1-2' long. Flowers in purple & blue shades to white & cream. Sun to part shade; little to moderate water. 		 IrisDoug 		 1-2' h; purple-y-blues 		 

Roman Chamomile 		 Chamaemelum nobile 		 Soft, ferny, fragrant leaves on a low-growing mat. Flowers small, yellow, & button-like. Grows 3-8" tall. Sun to part shade; moderate water. Tolerates some foot traffic. 		 ChamNobile 		 3-8" groundcover"""" 		 

Cat Thyme 		 Teucrium marum 		 Tiny gray leaves and hot pink, slightly fuzzy flowers. Cats really do like this plant, almost as much as catnip. Strong fragrance. Grows to 1'x1'. Full sun; little water. 		 TeucMarum 		 12" h x w"""" 		 

Hall's Woolly Thyme 		 Thymus praecox cv. 'Hall's Woolly' 		 Very low grower to 2-3" high. Leaves are slightly fuzzy and gray-green. Profuse pink flowers in spring to summer. Good on banks or rock gardens. Sun; moderate water. 		 ThymPrHalls 		 2-3" h x 8-12" w"""" 		 

Woolly Thyme 		 Thymus pseudolanuginosis 'Woolly' 		 Very low grower to 2-3" high. Leaves are gray and fuzzy. Doesn't bloom often; when it does, flowers are pink. Good on banks or rock gardens. Sun; moderate water. 		 ThymPseud 		 2-3" h x 8-12" w"""" 		 

Variegated African Basil 		 Ocimum x 'Variegated African' 		 Tender perennial with purple stems; green & white variegated leaves. Strong flavor & fragrance, but can be used in moderation. Full sun; ample water; pinch flowers. 		 OciVarAf 		 18-24" h x w"""" 		 

California Poppy 		 Eschscholzia californica 		 SLO, California native perennial blooms profusely in early spring. Will reseed fairly easily. Full sun; little to regular water. More water prolongs bloom. 		 EschCalif 		 12-18" h x w"""" 		 

Perle von Nurnberg Echeveria 		 Echeveria 'Perle von Nurnberg' 		 Beautiful pink-tinged leaves grow in 7" rosettes. Grows well in pots or outdoors in mild climates. Sun-part shade; moderate water. Zones 8-9. Pale peachy-yellow flowers. 		 EchPerleVN 		 7" rosettes"""" 		 

Bush Lupine 		 Lupinus arboreus 		 California coastal native shrub. Grows to 5-8' tall & wide. Flowers are usually yellow, but maybe lilac, blue, or white. Little to no water. Full sun. 		 LupiArb 		 5-8' h x w"""" 		 

Sea Lavender 		 Limonium perezii 		 Large gray-green leaves send out 3' flower spike in rich purple. Great at the beach; needs some shade inland. Great cut & dried flowers. Full sun; moderate water. 		 LimoPerez 		 3' flower spike"""" 		 

Maraschino Cherry Sage 		 Salvia greggii 'Maraschino Red' 		 Evergreen dark green leaves & cherry red flowers over long bloom season. 2-4' high. Prune & deadhead regularly. Full sun to part shade; does best with moderate water. 		 SalvGMarRd 		 2-4' h x 2-3' w; red"" 		 

Flore Plena Chamomile 		 Chamaemelum 'Flore Plena' 		 Soft, ferny, fragrant leaves on a low-growing mat. Flowers are bright double white. Grows 3-8" tall. Sun to part shade; moderate water. Tolerates some foot traffic. 		 ChamFlorPl 		 3-8" tall; spreading"" 		 

Sea Green Juniper 		 Juniperus chinensis 'Sea Green' 		 Grows to 4-5' high & wide. Dark green leaves on arching branches. Attractive form. Full sun except in hottest climates; well-drained soil; little to moderate water. 		 JuniSeaGrn 		 4-5' h x w"""" 		 

Chaparral Currant 		 Ribes malvaceum 		 CA native. 4-6' h x 3-5' w. Slightly hairy green-gray leaves w/ pink flowers in fall & winter. Red fruit. Summer-dormant without water. Sun to part shade. Zones 7-10. 		 RibesMalv 		 4-6' h x 3-5' w"""" 		 

Firebird Penstemon 		 Penstemon x 'Firebird' 		 2-3' perennial with narrow green leaves. Large scarlet red flowers in summer.  Closest to true red color. Sun to part shade; moderate water. Zones 5-10. 		 PensFireBrd 		 2-3' h x w; red"""" 		 

Golden-edge Sedge 		 Carex elegantissima 'Variegata' 		 Fine evergreen leaves grow to 18-24" tall. Olive green color with yellow edges. Prefers moist, well-drained soil and light shade. Foliage will burn in full sun inland. 		 CarexElVar 		 18-24" tall"""" 		 

Variegated Wallflower 		 Erysimum linifolium 'Variegata' 		 To 3' tall; 4-6' wide with narrow green & white leaves; dusky red-rust flowers turn purple. Best in cool summers & mild winters. Sun to light shade; moderate water. 		 ErysVarieg 		 to 3' h x 4-6' w"""" 		 

Coast Range Melic 		 Melica imperfecta 		 Narrow green leaves 1-1 1/2' high. Greenish-brown flowers in mid-late spring. Prefers part shade and some water in summer. Plant is summer deciduous with no water. 		 MeliImp 		 12-18" high"""" 		 

California Fescue 		 Festuca californica 		 Native to Coast Ranges. Grows in a clump of blue-green leaves to 2-3' high x 1-2' wide. Flowers in late spring to early summer. Drought tolerant in cooler areas. Sun. 		 FestucaCal 		 2-3' h x 1-2' w"""" 		 

Carnea Stonecrop 		 Sedum spathulifolium 'Carnea' 		 California native. Gray leaves tinged with red form cute rosettes. Summer bloom. Usually grows in rocky, mountainy areas in part sun. Moderate water. Zones 5-10. 		 SedSpathCrn 		 to 4" h x 10" w"""" 		 

Raven Penstemon 		 Penstemon x 'Raven' 		 Large deep purple flowers have some white veining in the throat. Reddish stems on flower stalks. Grows 2-3' high. Sun to part sun; regular water. Impressive flowers. 		 PensRaven 		 2-3' h x w"""" 		 

Bearded Iris 		 Iris 		 Stately flowers over gray-green lance-like leaves. These plants thrive on neglect, sun, poor soil, and little water. Height ranges from dwarf to tall bearded. Zones 3-10. 		 IrisBeard 		 assorted bloom & size" 		 

Misty Blueberry 		 Vaccinium 'Misty' 		 Southern highbush w/bright blue-green leaves & hot pink flowers. Medium large sky blue berries; excellent quality. Best when planted w/other blueberries. Acidic soil. 		 VaccMisty 		 showy pink bloom"""" 		 

Jubilee Blueberry 		 Vaccinium 'Jubilee' 		 Southern highbush w/light blue berries. 5-6' high. Best when planted w/other berries. Outstanding flavor. Needs acidic soil. Hardy to Zone 6. 		 VaccJubi 		 great flavor"""" 		 

Sharpblue Blueberry 		 Vaccinium 'Sharpblue' 		 Southern highbush w/medium large, medium-blue fruit. Good flavor; 200 chill hours. Bears much of year. Red fall foliage. 4-6' high. Needs acidic soil. Zone 7-10. 		 VaccSharpB 		 red fall color"""" 		 

Goldmoss Stonecrop 		 Sedum acre 		 Tiny green leaves on 2-5" high x 1 1/2' wide plants. Yellow flower clusters in summer. Sun - part shade. Hardy to Zone 3. Light to moderate water. Use as groundcover. 		 SedAcre 		 2-5" h x 18" w"""" 		 

Vera Jameson Stonecrop 		 Sedum 'Vera Jameson' 		 Grows 8-12" high with purplish-gray leaves. Tolerates sun to part shade with little to moderate water. Pink flowers in late summer. Hardy to Zone 4. 		 SedVeraJ 		 8-12" h & spreading""" 		 

Tri-Color Stonecrop 		 Sedum spurium 'Tri-Color' 		 Low growing plant reaches 4-5" high. Roundish leaves are striking mix of red, green, and white. Pink flowers in summer. Grows in sun to part shade; little water. Zone 3. 		 SedTricolor 		 4-5" h; spreading"""" 		 

Pine Scented Rosemary 		 Rosmarinus angustifolius 		 Very narrow leaves and a piney scent, but still can be used in cooking. Grows to 2' high & wide. Dark blue flowers. Full sun; little to moderate water. 		 RosmAng 		 2' h x w"""" 		 

Purple Form Stonecrop 		 Sedum hispanicum minus 'Purple Form' 		 Very tiny leaves on 1-3" plants. Amazing blue-gray color which changes as the temperatures drop. Pink flowers late summer. Zones 5-9. Sun. Little water. 		 SedHMPurpl 		 1-3" h & spreading"""" 		 

Button Stonecrop 		 Sedum hispanicum minus 'Button' 		 Tiny blue-gray button leaves on 1-3" high plants. Whitish-pink flowers in late summer. Sun to part shade; light water. Hardy to Zone 4. 		 SedHMButn 		 1-3" h & spreading"""" 		 

Blue Ridge Stonecrop 		 Sedum 'Blue Ridge' 		 Very low-growing creeper to 1" high. Bluish rosettes with flowers in early fall. Sun to part shade; light water. Hardy to Zone 4. 		 SedBluRidg 		 1" h creeper"""" 		 

Magical Michael Basil 		 Ocimum 'Magical Michael' 		 Dark green leaves with purplish undersides. Flowers are purple. Hardier than more common culinary basils, but has stronger flavor. Sun; lots of water. Very frost tender. 		 OciMagMic 		 15" h x w"""" 		 

Grower's Friend Sage 		 Salvia officinalis 'Grower's Friend' 		 Shrubby perennial with wrinkled, velvety gray-green leaves. Fewer flowers than other sages. Culinary sage; use fresh or dried. Full sun; little to moderate water. 		 SalvOffGrFr 		 2' h x 2-3' w"""" 		 

Southern Charm Mullein 		 Verbascum 'Southern Charm' 		 Leaves form rosette with flower stalks rising from center. Flowers are mixed creamy yellow, lavender, peach, & rose. Good cut flower. Sun; moderate water. Zone 6-9. 		 VerbascSChm 		 3' pastel spikes"""" 		 

Dwarf Purple Fountain Grass 		 Pennisetum setaceum 'Rubrum Dwarf' 		 From Santa Barbara, CA. Grows 2.5-3' tall and wide. Burgundy leaves are topped by red-purple flowers which fade to light brown. Moist, well-drained soil; full sun. 		 PennRubDwf 		 2 1/2-3' h x w"""" 		 

Old Man Bones Stonecrop 		 Sedum globosum 'Old Man Bones' 		 Interesting globe-shaped puffed leaves. Yellow flowers are insignificant. Grows 4" high. Sun to part shade; little to moderate water. Hardy to Zone 4. Blooms in summer. 		 SedGlobOldM 		 to 4" h & spreading""" 		 

Pride of Madeira 		 Echium candicans (fastuosum) 		 Large showy bluish-purple flowers in spring always turn heads. Grows 5-6' tall x 6-10' wide. Prune lightly to shape; deadhead. Full sun; little to moderate water. 		 EchiumCan 		 5-6' h x 6-10' w"""" 		 

Frades Escallonia 		 Escallonia x exoniensis 'Fradesii' 		 Compact grower to 5-6' high and wide. Has glossy green leaves and pink to rose flowers. Pinch or prune to maintain smaller shape. Sun to part shade; regular water. 		 EscFrades 		 5-6' h x w; pink"""" 		 

California Box Elder 		 Acer negundo 		 Fast-growing deciduous tree reaches 60' high and wide. Leaves turn yellow in fall before dropping. Full sun to part shade; moderate to regular water. Reseeds readily. 		 AcerNeg 		 to 60' tall; fast"""" 		 

Red Carpet Stonecrop 		 Sedum spurium 'Red Carpet' 		 Brilliant red-burgundy foliage grows to 4" high. Red flowers in summer. Sun to part shade; little to moderate water. Hardy to Zone 3. Nice groundcover. 		 SedRedCarp 		 to 4" h & spreading""" 		 

Ogon Stonecrop 		 Sedum makinoi 'Ogon' 		 Bright golden foliage grows to 4" high. Yellow flowers in summer. Sun to part shade; little to moderate water. USDA Zones 6-9. Good groundcover. 		 SedMakOg 		 to 4" h & spreading""" 		 

Purple Emperor Stonecrop 		 Sedum 'Purple Emperor' 		 Large purple-gray leaves are topped by mauve flowers in late summer. Grows to 16" high. Full sun; little to moderate water. USDA Zones 3-9. 		 SedPurpEm 		 bloom to 16" h"""" 		 

Mixed Hens & Chicks 		 Sempervivum tectorum 		 Assorted evergreen succulent plants with rosettes.  Flowers in late summer; often pink shades. Plants grow to 6"; 12-18" blooms. Little to moderate water; sun. Zones 5-8. 		 SempTect 		 4-6" h; spreading"""" 		 

Variegated Kalanchoe 		 Kalanchoe fedtschenkoi 'Variegata' 		 Known as "Creamed Scallops" because of the pink and white colors on the leaves. Grows to 15" high. Yellowish flowers w/ pink calyxes. Rich well-drained soil; good light. 		 KalFedVar 		 to 15" h"""" 		 

Summer Sunshine Germander 		 Teucrium chamaedrys 'Summer Sunshine' 		 Low grower spreads to 2-3'. Gold toothed leaves with intense rose-pink flowers. Sun; needs part sun inland; moderate water. Attracts bees. Good hedge plant. 		 TeucSumSun 		 to 6" h x 2-3' w"""" 		 

California Sycamore 		 Platanus racemosa 		 Native to CA foothills & Coast Range near streams. Grows 30-80' tall x 20-50' wide. Smooth bark; large green leaves; interesting shape. Tolerates heat, wind & sun. 		 PlatRace 		 30-80' h x 20-50' w""" 		 

Catalina Perfume Currant 		 Ribes viburnifolium 		 Evergreen shrub native to Catalina Island & Baja California. Red stems; fragrant dark green leaves. Pinkish flowers. Sun to part shade inland; moderate water. Zones 8b-10 		 RibesViburn 		 3-4' h x 4-6' w"""" 		 

California Bay 		 Umbellularia californica 		 California native. Slow growing tree stays smaller in gardens than in the wild. Very pungent fragrance. Grows in sun or shade; little to regular water. Fruit not edible. 		 UmbCalif 		 25-40'+ tall x 15'+ w" 		 

Yellow Lady Banks Rose 		 Rosa banksiae 'Lutea' 		 Evergreen climber to 20'. Clusters of small yellow flowers; nearly thornless branches. Sun to light shade; regular water. Flows over fences or walls. Zones 6-10. 		 RosaLutea 		 15-20' h x 10-15' w""" 		 

Bishop's Form Cranesbill 		 Erodium chamaedryoides 'Bishop's Form' 		 Hardy groundcover plant grows to about 6". Looks somewhat delicate. Hot pink flowers in early summer. Sun to part shade; moderate water. Hardy to Zone 7. 		 ErodBishop 		 under 6" h; spreading" 		 

Bat Face Cuphea 		 Cuphea llavea 		 Red and purple flowers resemble bat faces. Native to stream banks in Mexico. Grows 2-3' tall & wide; green slightly hairy leaves. Sun to part shade; regular water. 		 CuphLlav 		 2-3' h x w"""" 		 

Rosemary 		 Rosmarinus officinalis 		 This is your basic, standard upright rosemary. Full sun; little to moderate water. Good culinary herb or landscape plant. Can be trimmed to formal hedge. 		 RosmOff 		 2-4' h x w"""" 		 

Pike's Peak Purple Penstemon 		 Penstemon x mexicali 'Pike's Peak Purple' 		 Deep purple flowers on a 15" mounding plant. Grows in sun to part shade. Flowers from summer to fall. Moderate water. Hardy to Zone 5. Narrow green leaves. 		 PensPikePur 		 15" mounding"""" 		 

Wisley Pink Sunrose 		 Helianthemum nummularium 'Wisley Pink' 		 Low growing groundcover can reach 10" high. Gray-green foliage with light pink flowers in midsummer. Sun and drought tolerant. Good in rock gardens. Moderate water. 		 HeliWisPink 		 6-10" h; spreading"""" 		 

Wisley Primrose Sunrose 		 Helianthemum nummularium 'Wisley Primrose' 		 Low growing groundcover can reach 10" high. Gray-green foliage with pale yellow flowers in midsummer. Sun and drought tolerant. Good in rock gardens. Moderate water. 		 HeliWisPrim 		 6-10" h; spreading"""" 		 

Velvet Sage aka Buchanan's Sage 		 Salvia buchananii 		 Seed originally from Mexico City. Grows 1-2' high w/ glossy green leaves; fuzzy magenta flowers. Frost tender. Pinch back after bloom. Sun to part shade. Moderate water. 		 SalvBuch 		 1-2' h x w"""" 		 

Snowberry 		 Symphoricarpos albus var. laevigatus 		 California & Western US native. Does well in shade to sun; poor soil. White berries follow pink flowers. Little to moderate water. Has most fruit in sun. Good on banks. 		 SympAlbLaev 		 up to 6' h; spreading" 		 

Giant Wild Rye 		 Leymus (Elymus) condensatus 		 Coastal California native. Dark green leaves. Plant can reach 6-9' tall in bloom & up to 6' wide. Slow spreader. Grows in full sun - part shade; little to moderate water. 		 LeymCond 		 6-9' h w/bloom; 6' w"" 		 

Coast Redwood 		 Sequoia sempervirens 		 Coast Range native. World's tallest tree can reach 350' high. Most grow 70-90'. Flat green leaves; reddish bark. Needs regular water and fertilizer. Sun to light shade. 		 SeqSemp 		 70-90'; can reach 350' 		 

Violetta Mullein 		 Verbascum phoeniceum 'Violetta' 		 Hardy plant has large roundish leaves and dark purple-violet flower spikes to 3' tall. Blooms late spring-summer; reblooms if deadheaded. Sun; regular water. Zones 6-11. 		 VerbascViol 		 spikes to 3' high"""" 		 

Wonderful Pomegranate 		 Punica granatum 'Wonderful' 		 Shrubby tree can reach 18' tall. Best known of the pomegranates with extra large fruit. Deep red color, juicy, w/ sharp flavor. Ripens in September. Sun; moderate water. 		 PunWondrfl 		 to 18' tall"""" 		 

Berkeley Sedge 		 Carex divulsa 		 Clumping, evergreen sedge grows to 1' high & wide, but can reach up to 2'. Good meadow plant. Establishes quickly & tolerates a range of conditions. Prefers moist soil. 		 CarexDivuls 		 to 1' h x w; clumping" 		 

Wayne Roderick Erigeron 		 Erigeron glaucus 'Wayne Roderick' 		 Lower growing plant with gray-green leaves and 1" lavender-blue flowers. Long bloom period if you deadhead. Sun to part sun; moderate water. Good at coast. 		 ErigGlaWRod 		 to 1' h x 2' w"""" 		 

Garlic Chives 		 Allium tuberosum 		 Green leaves are flat and garlic scented. Flowers are white and star-shaped. Perennial plant grows in a variety of conditions. Sun; moderate water. Use fresh or cooked. 		 AlliumTuber 		 to 18"; culinary"""" 		 

Arizona Sun Blanket Flower 		 Gaillardia aristata 'Arizona Sun' 		 More compact variety of Blanket Flower with flashy red blooms trimmed with yellow. Plants grow to about 12" and can have 4" blooms. Sun; moderate water. Zones 3-10. 		 GailArizSun 		 to 12" h x w"""" 		 

Rosy Maidenhair Fern 		 Adiantum hispidulum 		 New fronds are pinkish-red. Grows to 18-24" high. Evergreen in mild climates; deciduous in colder climates. Can be grown indoors. Part shade; moderate water. Zones 7-10. 		 AdiHisp 		 18-24"; slow"""" 		 

Baby Tears Stonecrop 		 Sedum album v. chloroticum 'Baby Tears' 		 Also known as "Tear Drop Stonecress." Low grower with tear-drop shaped leaves. Grows 1-2" high with tiny white flowers in summer. Sun to part shade; low water. Zone 4. 		 SedAlbBaby 		 1-2" h; spreading"""" 		 

Fulda Glow/Blaze of Fulda Stonecrop 		 Sedum spurium 'Fuldaglut' 		 Low growing plant reaches 2-3" high to 18" wide. Leaves are tinged with maroon. Star shaped rose-red flowers in summer. Sun; moderate water. Zones 4-8. 		 SedFuldGl 		 2-3" h x 18" w"""" 		 

Voodoo Stonecrop 		 Sedum spurium 'Voodoo' 		 Low growing plant has striking burgundy leaves tinged with gray. Color intensifies in cool weather. 4-6" high spreading outward. Rose flowers spring to fall. Zones 3-9. 		 SedVoodoo 		 4-6: h & spreading"""" 		 

Spiky Blue Hair Grass 		 Corynephorus canescens 'Spiky Blue' 		 Good gray-green-blue color on nice clumps of grass 6" high x 15" wide. Flowers in summer. Prefers sun and moderate water with well-drained soil. Hardy to Zones 6-9. 		 CorynSpikBl 		 to 6" h x 15" w"""" 		 

Silver Scrolls Coral Bells 		 Heuchera 'Silver Scrolls' 		 Propagation prohibited. Metallic silver leaves w/dark veins. Grows to 24" including flowers. White flowers tinged w/pink in spring. Zones 4-8. Part shade; moderate water. 		 HeucSilvScr 		 to 12" h; bloom to 24" 		 

Amethyst Mist Coral Bells 		 Heuchera 'Amethyst Mist' 		 Dark amethyst-purple foliage in spring turns to silvery patches & speckles in summer. Compact plant grows to 12-15" high x 24" wide. Part shade; moderate water. 		 HeucAmMst 		 to 12" h; bloom to 24" 		 

Harmony Kangaroo Paw 		 Anigozanthos 'Harmony' 		 Australian native has dark green leaves with tall flower spikes to 5' high. Flowers are fuzzy, tubular, w/ red base & gold trumpet. Well drained soil; sun; regular water. 		 AnigHarmony 		 red/gold to 5' h"""" 		 

Cerise Queen Yarrow` 		 Achillea millefolium 'Cerise Queen' 		 Fernlike green leaves are topped by dark cerise flowers in flat clusters. Cut back after bloom and divide when the clump gets too large. Sun; moderate water. Hardy plant. 		 AchMilCerQ 		 to 2'; cerise bloom""" 		 

Fern Asparagus 		 Asparagus setaceus (plumosus) 		 Very delicate and tiny dark green leaves on woody-stemmed vine. Branches have some spines. Foliage is great in bouquets. Part shade; regular water; good indoors. 		 AspSetac 		 vines to 10'+"""" 		 

Nipomo Ceanothus 		 Ceanothus impressus var. nipomensis 		 Native to the Nipomo area of the Central Coast. Grows 4-6' high and wide with arching stems and dark green crinkled leaves. Full sun; little water. Cobalt blue flowers. 		 CeanImpNip 		 4-6' h x w"""" 		 

Vandenberg Ceanothus 		 Ceanothus impressus var. imp. 'Vandenberg' 		 Compact grower from the Vandenberg area. Grows 3-5' high by 5-8' wide. Dark green crinkled leaves look almost black. Bright blue flowers. Sun; little water. 		 CeanImpVand 		 3-5' h x 5-8' w"""" 		 

East Indian Lemon Grass 		 Cymbopogon flexuosus 		 Green leaves above red-brown stems. Citrus fragrance is stronger lower in stem. Contains high amounts of lemon grass oil. Tender perennial. Sun; regular water. Edible. 		 CymbFlex 		 4-5' clumps; edible""" 		 

Foxtail Rosemary 		 Rosmarinus officinalis 'Foxtail' 		 Semi-trailing variety has very full foliage resembling a fox's tail. Can grow to 3' tall. Medium blue flowers in late winter - early spring. Full sun; moderate water. 		 RosmFoxtail 		 to 3' h x w"""" 		 

Grappenhall Lavender 		 Lavandula x intermedia 'Grappenhall' 		 Low mound topped by long flower spikes to 3' high, similar to 'Grosso' or 'Provence'. Gray-green leaves with lavender-blue flowers. Sun; low to moderate water. 		 LavIntGrap 		 to 3' h x w"""" 		 

Melissa Lavender 		 Lavandula angustifolia 'Melissa' 		 Compact grower to 30" tall. Green-gray leaves look more green on older plants. Short flower spikes with pale pink flowers. Sweet fragrance. Sun; little water. Zone 5. 		 LavMeliss 		 to 30" in bloom"""" 		 

Shore Juniper 		 Juniperus conferta 		 Spreading juniper to 1' high by 6-8' wide. Japanese Native. Soft, blue-green leaves. Grows well along shore but tolerates warmer climates with moist well-drained soil. 		 JuniConfert 		 to 1' h x 6-8' w"""" 		 

Monterey Cypress 		 Cupressus macrocarpa 		 CA native grows to 40' h w/green foliage. Spreads wider with age. Best along coast; susceptible to fungus inland. Sun; moderate water. Fast grower. Zones 7-10. 		 CupMacro 		 to 40' h; fast grower" 		 

Soaptree Yucca 		 Yucca elata 		 Slow grower to 6-20' tall by 8-10' wide. Trunk can be single or branched. Gray-green spiny, narrow leaves. Sun; dry conditions. 3' flower spikes of 1 1/2" white flowers. 		 YuccaElat 		 6-20' h x 8-10' w"""" 		 

Our Lord's Candle 		 Yucca whipplei 		 Native to California. 2-3' h x w; 6'+ spike. Gray-green leaves 1-2' long; very spiny tips will pierce skin. 6-14' flower stems with 1-2" creamy flowers. Sun; very dry. 		 YuccWhip 		 to 2-3' h x w"""" 		 

Saffron Buckwheat 		 Eriogonum crocatum 		 Southern California native. Low grower to 1 1/2' - 2' high. Silver leaves are covered with fine hair. Beautiful yellow flowers in spring to summer. Sun; little water. 		 EriogCroc 		 18-24" h x 2-3' w"""" 		 

Horsetail 		 Equisetum hyemale 		 Prehistoric plant from Carboniferous Age grows to 4' tall with slender, dark green stems. Stems are hollow and jointed. Needs marshy area or pool, but can be invasive. 		 EquisHye 		 to 4' h; spreading"""" 		 

Prairie Fire Sedge 		 Carex testacea 'Prairie Fire' 		 Green-bronze ornamental grass has orange-red highlights. Evergreen. 12-18" high. Good in borders or for accent. Sun to part shade; regular water. Zones 5-9. 		 CarexTesPF 		 12-18" tall"""" 		 

Diamond Heights Ceanothus 		 Ceanothus 'Diamond Heights' 		 Low growing to 6-12" high & spreading to 3-5'. Leaves are gold with dark green splotches. Blue flowers. Needs part shade inland; some sun at coast. Low water. 		 CeanDiamHts 		 6-12" h; spreading"""" 		 

Frosty Morn Stonecrop 		 Sedum 'Frosty Morn' 		 Soft gray-green leaves edged with white on 24" plants. Fall flowers are pale pink to nearly white. Sun in mild climates to part shade inland. Low water. USDA Zones 4-9. 		 SedFrosMrn 		 bloom to 24" h"""" 		 

Gold Tooth Aloe 		 Aloe nobilis 		 Low-growing plant with leaves to 6" tall; flower spike stands above foliage. Leaves are green to bronzy-red w/ pale teeth; flowers are red. Sun to part shade; low water. 		 AloeNobilis 		 to 6" h; 1-2' bloom""" 		 

English Lavender 		 Lavandula angustifolia 		 Small shrub to 2' high & wide with narrow gray-green smooth-edged leaves. Flowers in early to mid-summer. Used in potpourris, medicinally, & cooking. Full sun; low water. 		 LavAngust 		 to 2' h x w; fragrant" 		 

Island Alum Root 		 Heuchera maxima 		 Channel Island native grows 1-2' tall x 3-4' wide over time. Green, roundish leaves have pink to white flowers standing above them. Part shade; low to average water. 		 HeucMaxim 		 1-2' h x 3-4' w"""" 		 

Gold Fountains Sedge 		 Carex dolichostachya 'Gold Fountains' 		 Attractive mound of green & gold leaves 1-2' high and wide. Grows in part shade, but can handle some sun with enough water. Hardy in Zones 5-9. Average soil. 		 CarexGoldFt 		 1-2' h x w"""" 		 

Spineless Prickly Pear 		 Opuntia 		 Most likely O. ficus-indica. Very large, thick pads are mostly spineless. Flowers are yellow to orange. Sun; low water. Motherstock from Tropicana Nursery in Morro Bay. 		 OpunSpnles 		 6-8' h x 8'+ w"""" 		 

Variegated Agave 		 Agave americana 'Aureomarginata' 		 Long gray-green leaves are edged with yellow. Leaves can grow up to 6' long. Plant flowers after many years-spike can be up to 20'. Sun; low water. Spiny tips on leaves. 		 AgaveAmAur 		 leaves to 6'"""" 		 

Red New Zealand Flax 		 Phormium tenax 'Rubrum' 		 Very large plant grows to 6-8' tall & wide with long sword-like leaves. Reddish color intensifies in full sun.  Sun to part shade; moderate water. Hardy to 20F. 		 PhormRub 		 6-8' h x w"""" 		 

Leatherleaf Coffeeberry 		 Rhamnus californica 'Leatherleaf' 		 Compact grower tends to be dense to 5-6' high & wide. Grows in sun to light shade with low water. Leaves are deeply veined and roll under at edges. Low maintenance. 		 RhamLeath 		 5-6' h x w; dense"""" 		 

Pink Rosemary 		 Rosmarinus officinalis 'Pink' 		 2-4' perennial which eventually sprawls. Lilac-pink flowers are edible & ornamental. Full sun; little to moderate water; well-drained soil. Culinary, but average flavor. 		 RosmPink 		 2-4' h x w"""" 		 

Wild Ginger 		 Asarum caudatum 		 Low growing plant reaches 1' high x 3' wide. Roundish leaves; brown-maroon flowers under the foliage. Needs water & shade. Roots have ginger fragrance & flavor. 		 AsarumCaud 		 to 1' h; spreads"""" 		 

Strawberry Guava 		 Psidium cattleianum 		 Shrub to small tree up to 15' high. Unusual fragrant flowers; edible purple fruit are golf-ball sized. Full sun & needs lots of water during fruit season. Hardy to 25F. 		 PsidiCattle 		 up to 15' h"""" 		 

Blue Mound Ceanothus 		 Ceanothus 'Blue Mound' 		 Originally from England. Dense mound to 3' high x 6' wide with glossy green leaves. Lots of flowers in late spring; sometimes reblooms in fall. Sun. Hardy to 15F. 		 CeanBluMnd 		 to 3' h x 6' w"""" 		 

Sea Breeze Seaside Daisy 		 Erigeron glaucus 'Sea Breeze' 		 Showy  bright pink flowers on a compact shape. Grows 1' high x 2' wide in full sun at coast; part shade inland. Large daisy-like flowers. Average water. Perennial. 		 ErigGlaSeaB 		 to 1' h x 2' w"""" 		 

Far Horizons Ceanothus 		 Ceanothus 'Far Horizons' 		 Santa Barbara County hybrid. Grows 4-6' high x 8' wide w/arching habit. Clear blue flowers in early spring. Best at coast; part shade inland. Moderate water. Hardy to 15F 		 CeanFarHorz 		 4-6' h x 8' w"""" 		 

Warriner Lytle Buckwheat 		 Eriogonum fasciculatum 'Warriner Lytle' 		 Low growing shrub can reach 2' tall x 4' wide. Tiny needle-like leaves look somewhat like rosemary. Light pink flowers. Full sun; little water. Hardy to 15F. 		 EriogWarLyt 		 to 2' h x 4' w"""" 		 

Pink Melaleuca 		 Melaleuca nesophila 		 Small tree or shrub grows 15-20' high & wide. Gray-green leaves, grayish bark, and pink flowers. Does well at coast, in poor soil, and in heat. Little to moderate water. 		 MelaNeso 		 15-20' h x w"""" 		 

